model,config,lr,epochs,warmup_ratio,weight_decay,batch_size,test_micro_f1,best_dev_f1,best_epoch_mean
BERT,--,2e-05,5,0.10,0.01,16,0.9131 ± 0.0014,0.9515,4.67
ModernBERT,0,2e-05,5,0.10,0.01,16,0.8895 ± 0.0018,0.9406,
ModernBERT,0a,1.5e-05,5,0.10,0.01,16,0.8817 ± 0.0027,0.9339,
ModernBERT,0b,2.5e-05,5,0.10,0.01,16,0.8914 ± 0.0009,0.9448,
ModernBERT,0c,3e-05,5,0.10,0.01,16,0.8905 ± 0.0002,0.9462,
ModernBERT,A,3e-05,5,0.10,0.01,16,0.8913 ± 0.0009,0.9462,
ModernBERT,B,5e-05,5,0.10,0.01,16,0.8984 ± 0.0021,0.9473,
ModernBERT,C,3e-05,10,0.10,0.01,16,0.8970 ± 0.0053,0.9468,
ModernBERT,D,5e-05,10,0.15,0.01,16,0.8975 ± 0.0028,0.9491,
ModernBERT,E,3e-05,10,0.10,0.001,16,0.8969 ± 0.0014,0.9462,
ModernBERT,F,3e-05,10,0.20,0.01,16,0.8929 ± 0.0027,0.9447,
ModernBERT,G,6e-05,10,0.10,0.01,32,0.9000 ± 0.0002,0.9492,9.67
ModernBERT,H,7e-05,10,0.10,0.01,32,0.8954 ± 0.0014,0.9483,
ModernBERT,I,6e-05,15,0.15,0.01,32,0.8916 ± 0.0023,0.9455,
ModernBERT,J,8e-05,10,0.15,0.01,48,0.8920 ± 0.0012,0.9478,
ModernBERT,K,5e-05,15,0.10,0.02,32,0.8961 ± 0.0015,0.9477,
ModernBERT,L,2e-05,7,0.10,0.01,16,0.8896 ± 0.0026,0.9421,
ModernBERT,M,2e-05,5,0.10,0.001,16,0.8871 ± 0.0034,0.9406,
